gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	ko_id	ko_name	EC	img_ko_flag
2514741558	335	87.5	1	335	1	335	0.0e+00	585.5	KO:K06215	pyridoxine biosynthesis protein [EC:4.-.-.-]	EC:4.-	Yes
2514741559	197	82.7	1	196	1	196	0.0e+00	334	KO:K08681	glutamine amidotransferase [EC:2.6.-.-]	EC:2.6.-	Yes
2514741560	333	84.7	1	333	1	333	0.0e+00	589.3	KO:K06863	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.-]	EC:6.3.4.-	Yes
2514741561	446	85.9	1	446	1	446	0.0e+00	772.3	KO:K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	EC:2.7.1.49	Yes
2514741561	446	85.9	1	446	1	446	0.0e+00	772.3	KO:K00941	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]	EC:2.7.4.7	Yes
2514741563	207	81.2	1	207	1	207	0.0e+00	335.5	KO:K00788	thiamine-phosphate pyrophosphorylase [EC:2.5.1.3]	EC:2.5.1.3	Yes
2514741564	266	83.5	1	266	3	268	0.0e+00	447.6	KO:K00878	hydroxyethylthiazole kinase [EC:2.7.1.50]	EC:2.7.1.50	Yes
2514741565	425	60.4	5	425	3	413	0.0e+00	512.3	KO:K03457	nucleobase:cation symporter-1, NCS1 family		Yes
2514741566	333	79.9	1	333	1	333	0.0e+00	548.9	KO:K07446	tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]		Yes
2514741568	265	80.1	20	265	1	246	0.0e+00	395.2	KO:K07134			Yes
2514741569	251	81.7	1	251	3	253	0.0e+00	425.2	KO:K03742	competence/damage-inducible protein CinA		Yes
2514741570	475	91.4	1	475	11	485	0.0e+00	856.7	KO:K00873	pyruvate kinase [EC:2.7.1.40]	EC:2.7.1.40	Yes
2514741573	342	84.5	1	342	3	350	0.0e+00	624	KO:K04070	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	EC:1.97.1.4	Yes
2514741574	621	94.5	1	621	1	621	0.0e+00	1219.9	KO:K03738	aldehyde:ferredoxin oxidoreductase [EC:1.2.7.5]	EC:1.2.7.5	Yes
2514741578	181	82.9	1	181	1	181	0.0e+00	314.7	KO:K08281	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	EC:3.5.1.-	Yes
2514741578	181	82.9	1	181	1	181	0.0e+00	314.7	KO:K08281	nicotinamidase/pyrazinamidase [EC:3.5.1.19 3.5.1.-]	EC:3.5.1.19	Yes
2514741584	331	77.3	1	330	1	330	0.0e+00	537.3	KO:K01424	L-asparaginase [EC:3.5.1.1]	EC:3.5.1.1	Yes
2514741586	740	90.9	1	740	1	740	0.0e+00	1420.6	KO:K07463	archaea-specific RecJ-like exonuclease		Yes
2514741599	527	43.5	1	494	5	509	0.0e+00	417.2	KO:K04034	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:4.-.-.-]	EC:4.-	Yes
2514741601	748	86	1	748	1	748	0.0e+00	1281.5	KO:K07003			Yes
2514741606	337	80.2	1	334	1	334	0.0e+00	530.8	KO:K07027			Yes
2514741607	277	86.6	1	277	1	276	0.0e+00	483.8	KO:K00858	NAD+ kinase [EC:2.7.1.23]	EC:2.7.1.23	Yes
2514741608	324	90.7	1	324	1	324	0.0e+00	604.7	KO:K15900	tRNA threonylcarbamoyladenosine biosynthesis protein		Yes
2514741612	195	65.1	1	195	1	195	0.0e+00	270.8	KO:K03752	molybdopterin-guanine dinucleotide biosynthesis protein A [EC:2.7.7.77]		Yes
