gene_oid	gene_length	query_start	query_end	evalue	bit_score	tigrfam_id	tigrfam_name
644842065	283	18	273	1.1e-57	183.5	TIGR01452	phosphoglycolate/pyridoxal phosphate phosphatase family
644842065	283	19	273	5.9e-63	200.6	TIGR01457	HAD-superfamily subfamily IIA hydrolase, TIGR01457
644842065	283	22	249	2.7e-50	159.4	TIGR01460	Haloacid Dehalogenase Superfamily Class (subfamily) IIA
644842068	187	1	179	1.9e-68	215.6	TIGR00448	DNA-directed RNA polymerase (rpoE), archaeal and eukaryotic form
644842073	199	15	190	5.9e-65	205.4	TIGR00537	HemK-related putative methylase
644842073	199	2	188	8.5e-28	84.2	TIGR00536	HemK family putative methylases
644842086	188	2	188	2.8e-84	267.3	TIGR00888	GMP synthase (glutamine-hydrolyzing), N-terminal domain or A subunit
644842089	313	10	313	0.0e+00	493.8	TIGR00884	GMP synthase (glutamine-hydrolyzing), C-terminal domain or B subunit
644842090	483	14	450	0.0e+00	617.7	TIGR01302	inosine-5'-monophosphate dehydrogenase
644842093	275	6	273	7.3e-101	322.9	TIGR00078	nicotinate-nucleotide pyrophosphorylase
644842094	300	1	299	2.2e-119	384.2	TIGR00550	quinolinate synthetase complex, A subunit
644842095	461	1	447	0.0e+00	500.3	TIGR00551	L-aspartate oxidase
644842096	713	1	711	0.0e+00	998.8	TIGR01736	phosphoribosylformylglycinamidine synthase II
644842097	225	5	223	2.0e-98	314.3	TIGR01737	phosphoribosylformylglycinamidine synthase I
644842098	81	3	78	2.5e-29	87.6	TIGR00302	phosphoribosylformylglycinamidine synthase, purS protein
644842100	435	5	422	0.0e+00	491.5	TIGR00877	phosphoribosylamine--glycine ligase
644842102	429	18	411	0.0e+00	618.7	TIGR01142	phosphoribosylglycinamide formyltransferase 2
644842103	350	18	338	1.6e-126	408	TIGR00878	phosphoribosylaminoimidazole synthetase
644842104	233	1	233	6.1e-81	257.9	TIGR00081	phosphoribosylaminoimidazole-succinocarboxamide synthase
644842105	443	5	437	0.0e+00	523.2	TIGR01134	amidophosphoribosyltransferase
644842106	676	10	662	0.0e+00	869.9	TIGR01591	formate dehydrogenase, alpha subunit, archaeal-type
644842113	205	50	156	1.3e-10	28	TIGR01444	methyltransferase, FkbM family
644842115	350	22	330	6.0e-115	370.6	TIGR03682	diphthamide biosynthesis enzyme Dph2
644842115	350	7	318	2.7e-94	303.1	TIGR00322	diphthamide biosynthesis enzyme Dph1/Dph2 domain
644842119	437	14	332	6.2e-87	278.6	TIGR00443	ATP phosphoribosyltransferase, regulatory subunit
644842119	437	8	426	9.7e-130	420.1	TIGR00442	histidyl-tRNA synthetase
644842120	204	2	191	4.1e-31	94.3	TIGR00427	membrane protein, MarC family
644842125	148	3	141	1.3e-58	183.9	TIGR00721	DNA-binding protein, Tfx family
644842125	148	4	55	1.8e-12	34.2	TIGR02937	RNA polymerase sigma factor, sigma-70 family
644842126	224	1	224	9.6e-86	272.9	TIGR00659	TIGR00659 family protein
644842128	136	9	135	7.3e-56	173.9	TIGR00004	endoribonuclease L-PSP, putative
644842130	1112	221	318	5.1e-13	37.1	TIGR01445	intein N-terminal splicing region
644842130	1112	27	1106	0.0e+00	1086	TIGR00764	lon-related putative ATP-dependent protease
644842134	584	10	344	3.0e-86	277.1	TIGR00449	tRNA-guanine transglycosylases, various specificities
644842134	584	10	398	0.0e+00	536.2	TIGR00432	tRNA-guanine transglycosylase, archaeosine-15-forming
644842134	584	477	583	8.8e-12	33	TIGR00451	uncharacterized domain 2
644842139	120	2	109	1.6e-36	111.5	TIGR01575	ribosomal-protein-alanine acetyltransferase
644842140	175	7	173	2.1e-38	118	TIGR00324	tRNA intron endonuclease
644842141	395	19	385	0.0e+00	429.5	TIGR00858	8-amino-7-oxononanoate synthase
644842141	395	5	394	8.9e-104	335	TIGR01821	5-aminolevulinic acid synthase
644842141	395	7	394	0.0e+00	669.1	TIGR01825	pyridoxal phosphate-dependent acyltransferase, putative
644842142	766	500	524	1.3e-07	18.9	TIGR01443	intein C-terminal splicing region
644842142	766	88	179	2.0e-11	32	TIGR01445	intein N-terminal splicing region
644842146	267	1	267	6.6e-105	336.4	TIGR02668	probable molybdenum cofactor biosynthesis protein A, archaeal
644842149	228	9	216	5.7e-78	247.6	TIGR02237	DNA repair and recombination protein RadB
644842154	286	3	286	6.7e-93	296.9	TIGR01251	ribose-phosphate pyrophosphokinase
644842158	170	1	155	2.2e-33	102.8	TIGR01685	magnesium-dependent phosphatase-1
644842158	170	2	132	1.8e-20	61.2	TIGR01681	HAD-superfamily phosphatase, subfamily IIIC
644842163	526	2	525	0.0e+00	532.8	TIGR00467	lysyl-tRNA synthetase, archaeal and spirochete
644842164	202	12	199	2.0e-55	173.8	TIGR03334	indolepyruvate ferredoxin oxidoreductase, beta subunit
644842168	268	6	261	3.0e-107	343.8	TIGR00522	diphthine synthase
644842174	390	68	388	3.9e-44	137.2	TIGR01513	putative nicotinate phosphoribosyltransferase
644842175	115	2	111	2.8e-22	65.5	TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein
644842177	732	597	732	2.5e-40	124.6	TIGR00399	methionyl-tRNA synthetase C-terminal region/beta chain
644842177	732	8	554	0.0e+00	596.6	TIGR00398	methionyl-tRNA synthetase
644842189	202	4	194	1.7e-89	284.9	TIGR03334	indolepyruvate ferredoxin oxidoreductase, beta subunit
644842190	646	15	638	0.0e+00	886.6	TIGR03336	indolepyruvate ferredoxin oxidoreductase, alpha subunit
644842191	457	6	453	0.0e+00	571.4	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
644842192	210	1	196	7.7e-60	188	TIGR00041	thymidylate kinase
644842205	352	42	314	1.1e-119	384.6	TIGR03730	tungstate ABC transporter binding protein WtpA
644842207	344	279	344	3.2e-23	67.8	TIGR00638	molybdenum-pterin binding domain
644842218	468	1	466	0.0e+00	590.5	TIGR00435	cysteinyl-tRNA synthetase
644842228	454	7	447	0.0e+00	545.1	TIGR03990	phosphoglucosamine mutase
644842237	402	9	402	0.0e+00	444	TIGR01979	cysteine desulfurases, SufSfamily
644842244	135	4	135	3.1e-40	123.1	TIGR00149	secondary thiamine-phosphate synthase enzyme
644842248	139	5	134	2.8e-17	49.4	TIGR02096	conserved hypothetical protein, steroid delta-isomerase-related
644842250	473	10	464	0.0e+00	532.6	TIGR02717	acetyl coenzyme A synthetase (ADP forming), alpha domain
644842252	210	1	208	4.4e-82	260.9	TIGR00266	TIGR00266 family protein
644842253	233	19	211	2.6e-60	189.4	TIGR01083	endonuclease III
644842256	326	11	304	4.1e-125	403	TIGR01188	daunorubicin resistance ABC transporter ATP-binding subunit
644842257	232	1	226	9.5e-104	332.2	TIGR01247	daunorubicin resistance ABC transporter membrane protein
644842263	353	34	347	5.3e-111	356.7	TIGR01187	spermidine/putrescine ABC transporter ATP-binding subunit
644842267	375	1	218	3.3e-30	91.4	TIGR00234	tyrosyl-tRNA synthetase
644842273	248	12	246	2.0e-63	200.1	TIGR00121	birA, biotin-[acetyl-CoA-carboxylase] ligase region
644842275	590	4	586	0.0e+00	762	TIGR01108	oxaloacetate decarboxylase alpha subunit
644842279	330	15	327	1.2e-78	250.6	TIGR00345	arsenite-activated ATPase ArsA
644842282	310	41	308	9.1e-92	294	TIGR00446	NOL1/NOP2/sun family putative RNA methylase
644842282	310	9	310	4.7e-60	190.8	TIGR00563	ribosomal RNA small subunit methyltransferase RsmB
644842289	138	1	134	9.3e-52	160.4	TIGR00037	translation initiation factor eIF-5A
644842290	288	14	285	1.0e-77	247.4	TIGR01230	agmatinase
644842292	457	2	451	0.0e+00	577.5	TIGR03990	phosphoglucosamine mutase
644842293	460	1	459	0.0e+00	518.8	TIGR01479	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
644842294	243	3	222	1.2e-19	58.8	TIGR01484	HAD-superfamily hydrolase, subfamily IIB
644842294	243	3	223	4.2e-90	289.4	TIGR02461	mannosyl-3-phosphoglycerate phosphatase
644842294	243	3	242	7.2e-74	235.9	TIGR01486	mannosyl-3-phosphoglycerate phosphatase family
644842295	394	2	383	0.0e+00	632.1	TIGR02460	mannosyl-3-phosphoglycerate synthase
644842298	138	12	137	8.6e-50	154.3	TIGR00527	glycine cleavage system H protein
644842300	458	26	426	3.1e-93	298.7	TIGR00797	putative efflux protein, MATE family
644842302	958	5	958	0.0e+00	1179.1	TIGR00395	leucyl-tRNA synthetase, archaeal and cytosolic family
644842305	402	232	311	1.2e-11	31.2	TIGR01766	transposase, IS605 OrfB family, central region
644842307	442	5	437	0.0e+00	611.5	TIGR03385	CoA-disulfide reductase
644842312	380	14	368	3.9e-125	403.7	TIGR01891	amidohydrolase
644842315	788	5	769	0.0e+00	952.8	TIGR01418	phosphoenolpyruvate synthase
644842316	318	155	236	1.3e-25	76	TIGR01766	transposase, IS605 OrfB family, central region
644842317	459	31	449	3.9e-84	268.8	TIGR00797	putative efflux protein, MATE family
644842329	151	7	150	2.8e-34	104.3	TIGR00072	hydrogenase maturation protease
644842331	359	5	358	3.3e-128	413.2	TIGR03626	archaeal ribosomal protein L3
644842332	255	1	253	7.5e-118	378.5	TIGR03672	50S ribosomal protein L4P
644842333	86	10	86	5.4e-40	121.9	TIGR03636	archaeal ribosomal protein L23
644842335	133	3	133	4.6e-69	217.5	TIGR01025	ribosomal protein S19(archaeal)/S15(eukaryotic)
644842335	133	33	123	5.8e-29	87.5	TIGR01050	ribosomal protein S19, bacterial/organelle
