gene_oid	gene_length	percent_identity	query_start	query_end	subj_start	subj_end	evalue	bit_score	cog_id	cog_name	cog_length
2518820748	115	40	1	114	1	125	5.0e-20	89.6	COG0720	6-pyruvoyl-tetrahydropterin synthase	127
2518820749	158	25.97	1	149	1	137	9.0e-10	56.7	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	140
2518820750	129	32.14	7	88	40	121	1.0e-12	65.7	COG1430	Uncharacterized conserved protein	126
2518820751	141	29.79	1	141	1	141	2.0e-16	78	COG1730	Predicted prefoldin, molecular chaperone implicated in de novo protein folding	145
2518820753	186	31.47	1	183	2	197	2.0e-26	112	COG1014	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit	203
2518820754	281	42.01	12	274	6	273	6.0e-75	274	COG1013	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit	294
2518820755	382	39.79	12	382	5	360	3.0e-81	296	COG0674	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit	365
2518820756	170	38.22	1	170	4	194	2.0e-30	125	COG1014	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, gamma subunit	203
2518820757	283	41.33	12	276	6	274	9.0e-77	280	COG1013	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, beta subunit	294
2518820758	396	37.96	20	395	1	361	2.0e-86	313	COG0674	Pyruvate:ferredoxin oxidoreductase and related 2-oxoacid:ferredoxin oxidoreductases, alpha subunit	365
2518820759	90	44.62	25	89	1	61	3.0e-08	49.8	COG1146	Ferredoxin	68
2518820760	324	53.44	3	322	33	348	8.0e-108	383	COG1244	Predicted Fe-S oxidoreductase	358
2518820762	153	28.47	4	143	2	137	5.0e-15	74	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	140
2518820763	257	43.85	1	255	1	251	2.0e-71	262	COG0496	Predicted acid phosphatase	252
2518820765	301	53.77	1	299	40	340	6.0e-96	344	COG0552	Signal recognition particle GTPase	340
2518820767	409	37.12	1	390	3	341	8.0e-67	247	COG1744	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein	345
2518820768	512	57.57	5	504	3	501	0.0e+00	654	COG3845	ABC-type uncharacterized transport systems, ATPase components	501
2518820769	350	40.9	14	337	12	342	1.0e-67	250	COG4603	ABC-type uncharacterized transport system, permease component	356
2518820770	297	43.14	4	297	5	303	2.0e-64	239	COG1079	Uncharacterized ABC-type transport system, permease component	304
2518820771	331	25.45	1	270	3	272	8.0e-31	127	COG0803	ABC-type metal ion transport system, periplasmic component/surface adhesin	303
2518820774	215	47.5	3	201	1	192	4.0e-49	187	COG2236	Predicted phosphoribosyltransferases	192
2518820775	451	58.72	1	449	25	464	0.0e+00	648	COG0215	Cysteinyl-tRNA synthetase	464
2518820776	350	41.04	2	174	1	157	2.0e-34	139	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerases 2	174
2518820778	226	35.92	24	226	55	256	2.0e-24	106	COG3503	Predicted membrane protein	323
2518820781	431	46.27	3	246	6	259	1.0e-67	250	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	263
2518820782	250	61.81	1	250	7	260	5.0e-96	344	COG1635	Flavoprotein involved in thiazole biosynthesis	262
2518820784	426	55.04	1	425	3	425	0.0e+00	617	COG0422	Thiamine biosynthesis protein ThiC	432
2518820785	219	39.9	2	201	5	200	4.0e-42	164	COG0152	Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase	247
2518820786	310	41.45	1	310	19	361	2.0e-72	265	COG1759	ATP-utilizing enzymes of ATP-grasp superfamily (probably carboligases)	361
2518820787	184	41.49	2	180	14	196	2.0e-36	145	COG3363	Archaeal IMP cyclohydrolase	200
2518820788	153	63.82	3	150	1	152	3.0e-47	180	COG0054	Riboflavin synthase beta-chain	152
2518820789	386	54.69	193	382	2	193	7.0e-63	234	COG0807	GTP cyclohydrolase II	193
2518820790	145	48.08	1	145	1	156	5.0e-40	156	COG0307	Riboflavin synthase alpha chain	204
2518820791	360	60.54	2	148	3	146	4.0e-58	218	COG0117	Pyrimidine deaminase	146
2518820792	616	43.88	1	614	2	647	0.0e+00	644	COG1505	Serine proteases of the peptidase family S9A	648
2518820793	234	37.19	3	233	2	240	3.0e-35	142	COG0467	RecA-superfamily ATPases implicated in signal transduction	260
2518820795	349	32.35	3	348	12	382	2.0e-41	163	COG1215	Glycosyltransferases, probably involved in cell wall biogenesis	439
2518820796	296	37.86	1	296	15	323	3.0e-43	169	COG0306	Phosphate/sulphate permeases	326
2518820797	579	36.8	6	345	1	372	8.0e-109	388	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	372
2518820800	362	25.14	11	361	1	357	5.0e-34	138	COG1672	Predicted ATPase (AAA+ superfamily)	359
2518820801	381	51.57	1	379	3	373	1.0e-125	443	COG1415	Uncharacterized conserved protein	373
2518820802	242	15.67	14	230	5	213	2.0e-09	56.1	COG1475	Predicted transcriptional regulators	240
2518820803	219	30.67	1	216	3	220	2.0e-31	129	COG0546	Predicted phosphatases	220
2518820804	257	30.16	10	256	12	258	2.0e-48	185	COG0426	Uncharacterized flavoproteins	388
2518820807	322	27.78	239	309	55	121	9.0e-03	34.6	COG3134	Predicted outer membrane lipoprotein	179
2518820810	328	25.43	2	326	12	343	3.0e-34	139	COG4260	Putative virion core protein (lumpy skin disease virus)	345
2518820811	151	29.66	4	144	2	139	1.0e-16	79	COG1848	Predicted nucleic acid-binding protein, contains PIN domain	140
2518820817	99	48.45	3	99	1	97	9.0e-24	101	COG1669	Predicted nucleotidyltransferases	97
2518820818	110	55.56	1	108	2	109	1.0e-32	131	COG2361	Uncharacterized conserved protein	117
2518820819	339	35.63	1	335	1	345	4.0e-86	311	COG1363	Cellulase M and related proteins	355
2518820820	293	20.07	3	282	9	297	2.0e-12	66.5	COG0679	Predicted permeases	311
2518820821	1350	23.66	779	1343	164	749	7.0e-43	170	COG2409	Predicted drug exporters of the RND superfamily	937
2518820822	161	44.3	18	95	10	87	4.0e-08	51	COG1695	Predicted transcriptional regulators	138
2518820823	137	29.87	66	137	15	91	8.0e-08	49.8	COG4742	Predicted transcriptional regulator	260
2518820825	217	23.5	14	216	44	275	3.0e-06	45.4	COG3595	Uncharacterized conserved protein	318
2518820826	416	19.89	43	405	51	393	3.0e-06	46.7	COG2814	Arabinose efflux permease	394
2518820827	122	30.43	8	121	5	119	7.0e-12	62.9	COG2018	Uncharacterized distant relative of homeotic protein bithoraxoid	119
2518820829	171	46.24	1	170	5	177	1.0e-47	182	COG2096	Uncharacterized conserved protein	184
2518820830	883	18.3	34	321	44	332	2.0e-06	48.9	COG2374	Predicted extracellular nuclease	798
2518820831	277	40.69	3	274	1	290	2.0e-66	246	COG1184	Translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family	301
2518820832	252	42.69	1	252	2	253	2.0e-69	255	COG1058	Predicted nucleotide-utilizing enzyme related to molybdopterin-biosynthesis enzyme MoeA	255
2518820833	334	20.29	2	319	1	335	5.0e-71	261	COG0057	Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase	335
2518820834	93	48.96	1	92	3	98	2.0e-16	77.3	COG1872	Uncharacterized conserved protein	102
2518820835	202	51.5	1	199	1	196	6.0e-60	223	COG1901	Uncharacterized conserved protein	197
2518820836	162	47.65	2	162	8	177	1.0e-43	169	COG2306	Uncharacterized conserved protein	183
2518820837	570	56.54	4	570	2	554	0.0e+00	746	COG0423	Glycyl-tRNA synthetase (class II)	558
2518820838	755	26.8	279	728	1	502	6.0e-55	209	COG0366	Glycosidases	505
2518820839	76	39.47	1	72	4	79	5.0e-12	62.6	COG1958	Small nuclear ribonucleoprotein (snRNP) homolog	79
2518820840	62	60.66	1	61	1	60	2.0e-08	50.4	COG2126	Ribosomal protein L37E	61
2518820841	456	38.05	7	456	15	450	2.0e-76	279	COG0534	Na+-driven multidrug efflux pump	455
2518820843	103	32.63	5	98	42	134	2.0e-05	41.1	COG4113	Predicted nucleic acid-binding protein, contains PIN domain	134
2518820844	364	33.64	149	359	13	229	3.0e-22	99.7	COG1814	Uncharacterized membrane protein	229
2518820845	378	48.85	1	378	1	377	9.0e-120	423	COG1867	N2,N2-dimethylguanosine tRNA methyltransferase	380
2518820846	88	37.5	2	88	7	94	2.0e-18	83.8	COG2451	Ribosomal protein L35AE/L33A	100
2518820847	222	20.9	5	164	8	181	5.0e-05	41.4	COG1011	Predicted hydrolase (HAD superfamily)	229
2518820848	348	41.19	2	348	13	381	1.0e-88	320	COG0006	Xaa-Pro aminopeptidase	384
