gene_oid	db_name	id
638172469	GI	18891897
638172469	GenBank/EMBL	AAL80125
638172469	UniProt/TrEMBL	Q8U4S2
638172470	GI	18891898
638172470	GenBank/EMBL	AAL80126
638172470	UniProt/TrEMBL	Q8U4S1
638172471	GI	18891899
638172471	GenBank/EMBL	AAL80127
638172472	GI	18891900
638172472	GenBank/EMBL	AAL80128
638172472	UniProt/TrEMBL	Q8U4R9
638172473	GI	18891901
638172473	GenBank/EMBL	AAL80129
638172474	GI	18891902
638172474	GenBank/EMBL	AAL80130
638172475	GI	18891903
638172475	GenBank/EMBL	AAL80131
638172476	GI	18891904
638172476	GenBank/EMBL	AAL80132
638172476	PIRSF	PIRSF000714
638172476	UniProt/TrEMBL	Q8U4R5
638172477	GI	18891905
638172477	GenBank/EMBL	AAL80133
638172477	PIRSF	PIRSF005983
638172477	UniProt/TrEMBL	Q8U4R4
638172479	GI	18891906
638172479	GenBank/EMBL	AAL80134
638172479	PIRSF	PIRSF006278
638172479	TIGRFam	TIGR01275
638172479	UniProt/TrEMBL	Q8U4R3
638172481	GI	18891907
638172481	GenBank/EMBL	AAL80135
638172481	PIRSF	PIRSF015737
638172481	UniProt/TrEMBL	Q8U4R2
638172482	GI	18891908
638172482	GenBank/EMBL	AAL80136
638172482	PIRSF	PIRSF004854
638172482	UniProt/TrEMBL	Q8U4R1
638172483	GI	18891909
638172483	GenBank/EMBL	AAL80137
638172484	GI	18891910
638172484	GenBank/EMBL	AAL80138
638172484	PIRSF	PIRSF016924
638172484	UniProt/TrEMBL	Q8U4R0
638172485	GI	18891911
638172485	GenBank/EMBL	AAL80139
638172486	GI	18891913
638172486	GenBank/EMBL	AAL80140
638172487	GI	18891914
638172487	GenBank/EMBL	AAL80141
638172488	GI	18891915
638172488	GenBank/EMBL	AAL80142
638172489	GI	18891916
638172489	GenBank/EMBL	AAL80143
638172490	GI	18891918
638172490	GenBank/EMBL	AAL80144
638172491	GI	18891919
638172491	GenBank/EMBL	AAL80145
638172492	GI	18891920
638172492	GenBank/EMBL	AAL80146
638172492	PIRSF	PIRSF018644
638172492	UniProt/TrEMBL	Q8U4Q7
638172493	GI	18891921
638172493	GenBank/EMBL	AAL80147
638172494	GI	18891922
638172494	GenBank/EMBL	AAL80148
638172495	GI	18891923
638172495	GenBank/EMBL	AAL80149
638172495	PIRSF	PIRSF019191
638172495	UniProt/TrEMBL	Q8U4Q4
638172496	GI	18891924
638172496	GenBank/EMBL	AAL80150
638172496	PIRSF	PIRSF005335
638172496	UniProt/TrEMBL	Q8TH22
638172497	GI	18891927
638172497	GenBank/EMBL	AAL80151
638172498	GI	18891928
638172498	GenBank/EMBL	AAL80152
638172499	GI	18891929
638172499	GenBank/EMBL	AAL80153
638172499	UniProt/TrEMBL	Q8U4Q1
638172500	GI	18891930
638172500	GenBank/EMBL	AAL80154
638172500	PIRSF	PIRSF026760
638172500	UniProt/TrEMBL	Q8U4Q0
638172501	GI	18891931
638172501	GenBank/EMBL	AAL80155
638172502	GI	18891932
638172502	GenBank/EMBL	AAL80156
638172503	GI	18891933
638172503	GenBank/EMBL	AAL80157
638172503	UniProt/TrEMBL	Q8U4P7
638172504	GI	18891934
638172504	GenBank/EMBL	AAL80158
638172504	UniProt/TrEMBL	Q8U4P6
638172505	GI	18891935
638172505	GenBank/EMBL	AAL80159
638172505	UniProt/TrEMBL	Q8U4P5
638172506	GI	18891936
638172506	GenBank/EMBL	AAL80160
638172507	GI	18891939
638172507	GenBank/EMBL	AAL80161
638172508	GI	18891940
638172508	GenBank/EMBL	AAL80162
638172508	PIRSF	PIRSF005457
638172508	UniProt/TrEMBL	Q8U4P2
638172509	GI	18891941
638172509	GenBank/EMBL	AAL80163
638172510	GI	18891942
638172510	GenBank/EMBL	AAL80164
638172511	GI	18891943
638172511	GenBank/EMBL	AAL80165
638172512	GI	18891944
638172512	GenBank/EMBL	AAL80166
638172513	GI	18891945
638172513	GenBank/EMBL	AAL80167
638172514	GI	18891948
638172514	GenBank/EMBL	AAL80168
638172515	GI	18891949
638172515	GenBank/EMBL	AAL80169
638172516	GI	18891950
638172516	GenBank/EMBL	AAL80170
638172517	GI	18891951
638172517	GenBank/EMBL	AAL80171
638172517	PIRSF	PIRSF019232
638172517	UniProt/TrEMBL	Q8U4N4
638172518	GI	18891952
638172518	GenBank/EMBL	AAL80172
638172519	GI	18891953
638172519	GenBank/EMBL	AAL80173
638172519	PIRSF	PIRSF000404
638172519	TIGRFam	TIGR00675
638172519	UniProt/TrEMBL	Q8U4N2
638172520	GI	18891954
638172520	GenBank/EMBL	AAL80174
638172520	PIRSF	PIRSF005592
638172520	UniProt/TrEMBL	Q8U4N1
638172521	GI	18891955
638172521	GenBank/EMBL	AAL80175
638172522	GI	18891956
638172522	GenBank/EMBL	AAL80176
638172523	GI	18891957
638172523	GenBank/EMBL	AAL80177
638172523	UniProt/TrEMBL	Q8U4M8
638172524	GI	18891958
638172524	GenBank/EMBL	AAL80178
638172524	PIRSF	PIRSF003190
638172524	UniProt/TrEMBL	Q8U4M7
638172525	GI	18891959
638172525	GenBank/EMBL	AAL80179
638172525	UniProt/TrEMBL	Q8U4M6
638172526	GI	18891960
638172526	GenBank/EMBL	AAL80180
638172527	GI	18891963
638172527	GenBank/EMBL	AAL80181
638172528	GI	18891964
638172528	GenBank/EMBL	AAL80182
638172528	UniProt/TrEMBL	Q8U4M3
638172529	GI	18891965
638172529	GenBank/EMBL	AAL80183
638172530	GI	18891966
638172530	GenBank/EMBL	AAL80184
638172530	PIRSF	PIRSF006694
638172530	UniProt/TrEMBL	Q8U4M1
638172531	GI	18891967
638172531	GenBank/EMBL	AAL80185
638172531	PIRSF	PIRSF000498
638172531	TIGRFam	TIGR00187
638172531	UniProt/TrEMBL	Q8U4M0
638172532	GI	18891968
638172532	GenBank/EMBL	AAL80186
638172533	GI	18891969
638172533	GenBank/EMBL	AAL80187
638172534	GI	18891970
638172534	GenBank/EMBL	AAL80188
638172535	GI	18891971
638172535	GenBank/EMBL	AAL80189
638172535	PIRSF	PIRSF018725
638172535	UniProt/TrEMBL	Q8U4L6
638172536	GI	18891972
638172536	GenBank/EMBL	AAL80190
638172537	GI	18891973
638172537	GenBank/EMBL	AAL80191
638172538	GI	18891972
638172538	GI	18891973
638172538	GenBank/EMBL	AAL80191
638172538	UniProt/TrEMBL	Q8U4L4
638172539	GI	18891974
638172539	GenBank/EMBL	AAL80192
638172540	GI	18891975
638172540	GenBank/EMBL	AAL80193
638172541	GI	18891978
638172541	GenBank/EMBL	AAL80194
638172542	GI	18891979
638172542	GenBank/EMBL	AAL80195
638172542	PIRSF	PIRSF019231
638172542	TIGRFam	TIGR00451
638172542	UniProt/TrEMBL	Q8U4L1
638172543	GI	18891980
638172543	GenBank/EMBL	AAL80196
638172543	PIRSF	PIRSF018932
638172543	UniProt/TrEMBL	Q8U4L0
638172546	GI	18891981
638172546	GenBank/EMBL	AAL80197
638172547	GI	18891982
638172547	GenBank/EMBL	AAL80198
638172548	GI	18891983
638172548	GenBank/EMBL	AAL80199
638172549	GI	18891984
638172549	GenBank/EMBL	AAL80200
638172549	PIRSF	PIRSF001094
638172549	UniProt/TrEMBL	O73951
638172550	GI	18891985
638172550	GenBank/EMBL	AAL80201
638172551	GI	18891986
638172551	GenBank/EMBL	AAL80202
638172552	GI	18891987
638172552	GenBank/EMBL	AAL80203
638172552	PIRSF	PIRSF009445
638172552	UniProt/TrEMBL	Q8U4K6
638172553	GI	18891990
638172553	GenBank/EMBL	AAL80204
638172554	GI	18891991
638172554	GenBank/EMBL	AAL80205
638172554	PIRSF	PIRSF002807
638172554	UniProt/TrEMBL	Q8U4K4
638172555	GI	18891992
638172555	GenBank/EMBL	AAL80206
638172555	PIRSF	PIRSF002759
638172555	TIGRFam	TIGR00638
638172555	UniProt/TrEMBL	Q8U4K3
638172556	GI	18891993
638172556	GenBank/EMBL	AAL80207
638172557	GI	18891994
638172557	GenBank/EMBL	AAL80208
638172558	GI	18891996
638172558	GenBank/EMBL	AAL80209
638172559	GI	18891994
638172559	GI	18891996
638172559	GenBank/EMBL	AAL80209
638172559	UniProt/TrEMBL	Q8U4K0
638172559	UniProt/TrEMBL	Q8U4K1
638172560	GI	18891997
638172560	GenBank/EMBL	AAL80210
638172561	GI	18891998
638172561	GenBank/EMBL	AAL80211
638172562	GI	18891999
638172562	GenBank/EMBL	AAL80212
638172563	GI	18892000
638172563	GenBank/EMBL	AAL80213
638172563	PIRSF	PIRSF006525
638172563	UniProt/TrEMBL	Q8U4J6
638172564	GI	18892001
638172564	GenBank/EMBL	AAL80214
638172565	GI	18892002
638172565	GenBank/EMBL	AAL80215
638172565	PIRSF	PIRSF037041
638172565	UniProt/TrEMBL	Q8U4J4
638172566	GI	18892003
638172566	GenBank/EMBL	AAL80216
638172567	GI	18892004
638172567	GenBank/EMBL	AAL80217
638172568	GI	18892007
638172568	GenBank/EMBL	AAL80218
638172569	GI	18892008
638172569	GenBank/EMBL	AAL80219
638172570	GI	18892009
638172570	GenBank/EMBL	AAL80220
638172570	UniProt/TrEMBL	Q8U4J1
638172571	GI	18892010
638172571	GenBank/EMBL	AAL80221
638172572	GI	18892011
638172572	GenBank/EMBL	AAL80222
638172573	GI	18892012
638172573	GenBank/EMBL	AAL80223
638172573	UniProt/TrEMBL	Q8U4I8
638172574	GI	18892013
638172574	GenBank/EMBL	AAL80224
638172574	PIRSF	PIRSF006208
638172574	UniProt/TrEMBL	Q8U4I7
638172575	GI	18892014
638172575	GenBank/EMBL	AAL80225
638172576	GI	18892017
638172576	GenBank/EMBL	AAL80226
638172576	PIRSF	PIRSF005828
638172576	UniProt/TrEMBL	Q8U4I5
638172577	GI	18892018
638172577	GenBank/EMBL	AAL80227
638172578	GI	18892019
638172578	GenBank/EMBL	AAL80228
638172579	GI	18892018
638172579	GI	18892019
638172579	GenBank/EMBL	AAL80228
638172579	UniProt/TrEMBL	Q8U4I3
638172579	UniProt/TrEMBL	Q8U4I4
638172580	GI	18892020
638172580	GenBank/EMBL	AAL80229
638172580	UniProt/TrEMBL	Q8U4I2
638172581	GI	18892021
638172581	GenBank/EMBL	AAL80230
638172582	GI	18892022
638172582	GenBank/EMBL	AAL80231
638172582	PIRSF	PIRSF019348
638172582	UniProt/TrEMBL	Q8U4I0
638172583	GI	18892023
638172583	GenBank/EMBL	AAL80232
638172584	GI	18892024
638172584	GenBank/EMBL	AAL80233
638172584	UniProt/TrEMBL	Q8U4H8
638172585	GI	18892025
638172585	GenBank/EMBL	AAL80234
638172585	PIRSF	PIRSF005538
638172585	PIRSF	PIRSF500023
638172585	TIGRFam	TIGR00335
638172585	UniProt/TrEMBL	Q9P9H1
638172586	GI	18892026
638172586	GenBank/EMBL	AAL80235
638172587	GI	18892027
638172587	GenBank/EMBL	AAL80236
638172588	GI	18892028
638172588	GenBank/EMBL	AAL80237
638172588	PIRSF	PIRSF019064
638172588	UniProt/TrEMBL	Q8U4H5
638172589	GI	18892029
638172589	GenBank/EMBL	AAL80238
638172590	GI	18892030
638172590	GenBank/EMBL	AAL80239
638172590	PIRSF	PIRSF001171
638172590	TIGRFam	TIGR01242
638172590	UniProt/TrEMBL	Q8U4H3
638172591	GI	18892033
638172591	GenBank/EMBL	AAL80240
638172591	PIRSF	PIRSF002759
638172591	UniProt/TrEMBL	Q8U4H2
638172592	GI	18892034
638172592	GenBank/EMBL	AAL80241
638172593	GI	18892035
638172593	GenBank/EMBL	AAL80242
638172593	PIRSF	PIRSF002793
638172593	UniProt/TrEMBL	Q8U4H0
638172594	GI	18892036
638172594	GenBank/EMBL	AAL80243
638172594	PIRSF	PIRSF016880
638172594	UniProt/TrEMBL	Q8U4G9
638172596	GI	18892037
638172596	GenBank/EMBL	AAL80244
638172597	GI	18892038
638172597	GenBank/EMBL	AAL80245
638172598	GI	18892039
638172598	GenBank/EMBL	AAL80246
638172599	GI	18892040
638172599	GenBank/EMBL	AAL80247
638172599	PIRSF	PIRSF016725
638172599	UniProt/TrEMBL	Q8U4G5
638172600	GI	18892041
638172600	GenBank/EMBL	AAL80248
638172600	UniProt/TrEMBL	Q8U4G4
638172601	GI	18892042
638172601	GenBank/EMBL	AAL80249
638172601	UniProt/TrEMBL	Q8U4G3
638172602	GI	18892045
638172602	GenBank/EMBL	AAL80250
638172603	GI	18892046
638172603	GenBank/EMBL	AAL80251
638172604	GI	18892047
638172604	GenBank/EMBL	AAL80252
638172605	GI	18892048
638172605	GenBank/EMBL	AAL80253
638172606	GI	18892049
638172606	GenBank/EMBL	AAL80254
638172607	GI	18892050
638172607	GenBank/EMBL	AAL80255
638172611	GI	18892053
638172611	GenBank/EMBL	AAL80256
638172612	GI	18892054
638172612	GenBank/EMBL	AAL80257
638172613	GI	18892055
638172613	GenBank/EMBL	AAL80258
638172613	UniProt/TrEMBL	Q8U4F4
638172614	GI	18892056
638172614	GenBank/EMBL	AAL80259
638172615	GI	18892057
638172615	GenBank/EMBL	AAL80260
638172615	PIRSF	PIRSF010086
638172615	UniProt/TrEMBL	Q8U4F2
638172616	GI	18892058
638172616	GenBank/EMBL	AAL80261
638172616	PIRSF	PIRSF003084
638172616	UniProt/TrEMBL	Q8U4F1
638172617	GI	18892059
638172617	GenBank/EMBL	AAL80262
638172617	PIRSF	PIRSF027923
638172617	UniProt/TrEMBL	Q8U4F0
638172618	GI	18892060
638172618	GenBank/EMBL	AAL80263
638172619	GI	18892061
638172619	GenBank/EMBL	AAL80264
638172620	GI	18892062
638172620	GenBank/EMBL	AAL80265
638172620	PIRSF	PIRSF004903
638172620	UniProt/TrEMBL	Q8U4E7
638172621	GI	18892063
638172621	GenBank/EMBL	AAL80266
638172621	PIRSF	PIRSF006297
638172621	UniProt/TrEMBL	Q8U4E6
638172622	GI	18892064
638172622	GenBank/EMBL	AAL80267
638172623	GI	18892065
638172623	GenBank/EMBL	AAL80268
638172623	PIRSF	PIRSF032601
638172623	UniProt/TrEMBL	Q8U4E4
638172624	GI	18892066
638172624	GenBank/EMBL	AAL80269
638172625	GI	18892067
638172625	GenBank/EMBL	AAL80270
638172626	GI	18892068
638172626	GenBank/EMBL	AAL80271
638172627	GI	18892071
638172627	GenBank/EMBL	AAL80272
638172628	GI	18892072
638172628	GenBank/EMBL	AAL80273
638172629	GI	18892073
638172629	GenBank/EMBL	AAL80274
638172630	GI	18892074
638172630	GenBank/EMBL	AAL80275
638172631	GI	18892075
638172631	GenBank/EMBL	AAL80276
638172632	GI	18892076
638172632	GenBank/EMBL	AAL80277
638172633	GI	18892077
638172633	GenBank/EMBL	AAL80278
638172634	GI	18892078
638172634	GenBank/EMBL	AAL80279
638172636	GI	18892079
638172636	GenBank/EMBL	AAL80280
638172636	PIRSF	PIRSF019190
638172636	UniProt/TrEMBL	Q8U4D2
638172638	GI	18892080
638172638	GenBank/EMBL	AAL80281
638172639	GI	18892083
638172639	GenBank/EMBL	AAL80282
638172640	GI	18892084
638172640	GenBank/EMBL	AAL80283
638172640	PIRSF	PIRSF001212
638172640	UniProt/TrEMBL	Q8U4C9
638172641	GI	18892085
638172641	GenBank/EMBL	AAL80284
638172641	PIRSF	PIRSF004919
638172641	UniProt/TrEMBL	Q8U4C8
638172642	GI	18892086
638172642	GenBank/EMBL	AAL80285
638172642	PIRSF	PIRSF004921
638172642	UniProt/TrEMBL	Q8U4C7
638172643	GI	18892087
638172643	GenBank/EMBL	AAL80286
638172644	GI	18892088
638172644	GenBank/EMBL	AAL80287
638172645	GI	18892089
638172645	GenBank/EMBL	AAL80288
638172646	GI	18892090
638172646	GenBank/EMBL	AAL80289
638172646	PIRSF	PIRSF000895
638172646	TIGRFam	TIGR01549
638172646	UniProt/TrEMBL	Q8U4C3
638172647	GI	18892091
638172647	GenBank/EMBL	AAL80290
638172647	PIRSF	PIRSF006771
638172647	TIGRFam	TIGR00725
638172647	UniProt/TrEMBL	Q8U4C2
638172648	GI	18892092
638172648	GenBank/EMBL	AAL80291
638172648	UniProt/TrEMBL	Q8U4C1
638172649	GI	18892093
638172649	GenBank/EMBL	AAL80292
638172650	GI	18892094
638172650	GenBank/EMBL	AAL80293
638172651	GI	18892095
638172651	GenBank/EMBL	AAL80294
638172651	PIRSF	PIRSF006689
638172651	TIGRFam	TIGR00374
638172651	UniProt/TrEMBL	Q8U4B8
638172652	GI	18892096
638172652	GenBank/EMBL	AAL80295
638172653	GI	18892099
638172653	GenBank/EMBL	AAL80296
638172653	PIRSF	PIRSF004537
638172653	TIGRFam	TIGR00329
638172653	UniProt/TrEMBL	Q8U4B6
638172654	GI	18892100
638172654	GenBank/EMBL	AAL80297
638172654	PIRSF	PIRSF005005
638172654	UniProt/TrEMBL	Q8U4B5
638172655	GI	18892101
638172655	GenBank/EMBL	AAL80298
638172656	GI	18892102
638172656	GenBank/EMBL	AAL80299
638172657	GI	18892105
638172657	GenBank/EMBL	AAL80300
638172658	GI	18892106
638172658	GenBank/EMBL	AAL80301
638172658	UniProt/TrEMBL	Q8U4B1
638172659	GI	18892107
638172659	GenBank/EMBL	AAL80302
638172659	UniProt/TrEMBL	Q8U4B0
638172660	GI	18892108
638172660	GenBank/EMBL	AAL80303
638172660	PIRSF	PIRSF001287
638172660	UniProt/TrEMBL	Q8U4A9
638172661	GI	18892109
638172661	GenBank/EMBL	AAL80304
638172661	PIRSF	PIRSF001279
638172661	UniProt/TrEMBL	Q8U4A8
638172662	GI	18892110
638172662	GenBank/EMBL	AAL80305
638172663	GI	18892111
638172663	GenBank/EMBL	AAL80306
638172664	GI	18892112
638172664	GenBank/EMBL	AAL80307
638172665	GI	18892113
638172665	GenBank/EMBL	AAL80308
638172666	GI	18892116
638172666	GenBank/EMBL	AAL80309
638172666	UniProt/TrEMBL	Q8U4A3
638172667	GI	18892117
638172667	GenBank/EMBL	AAL80310
638172667	PIRSF	PIRSF036668
638172667	UniProt/TrEMBL	Q8U4A2
638172668	GI	18892118
638172668	GenBank/EMBL	AAL80311
638172669	GI	18892119
638172669	GenBank/EMBL	AAL80312
638172670	GI	18892120
638172670	GenBank/EMBL	AAL80313
638172670	PIRSF	PIRSF001238
638172670	TIGRFam	TIGR00857
638172670	UniProt/TrEMBL	Q8U4A0
638172671	GI	18892121
638172671	GenBank/EMBL	AAL80314
638172672	GI	18892122
638172672	GenBank/EMBL	AAL80315
638172673	GI	18892123
638172673	GenBank/EMBL	AAL80316
638172673	UniProt/TrEMBL	Q8U497
638172674	GI	18892124
638172674	GenBank/EMBL	AAL80317
638172675	GI	18892125
638172675	GenBank/EMBL	AAL80318
638172675	PIRSF	PIRSF002759
638172675	TIGRFam	TIGR01727
638172675	UniProt/TrEMBL	Q8U495
638172676	GI	18892126
638172676	GenBank/EMBL	AAL80319
638172676	PIRSF	PIRSF008655
638172676	UniProt/TrEMBL	Q8U494
638172677	GI	18892127
638172677	GenBank/EMBL	AAL80320
638172678	GI	18892128
638172678	GenBank/EMBL	AAL80321
638172679	GI	18892129
638172679	GenBank/EMBL	AAL80322
638172679	PIRSF	PIRSF001586
638172679	TIGRFam	TIGR01737
638172679	UniProt/TrEMBL	Q8U492
638172680	GI	18892132
638172680	GenBank/EMBL	AAL80323
638172682	GI	18892133
638172682	GenBank/EMBL	AAL80324
638172682	PIRSF	PIRSF019657
638172682	TIGRFam	TIGR00196
638172682	TIGRFam	TIGR00197
638172682	UniProt/TrEMBL	Q8U490
638172683	GI	18892134
638172683	GenBank/EMBL	AAL80325
638172684	GI	18892135
638172684	GenBank/EMBL	AAL80326
638172685	GI	18892136
638172685	GenBank/EMBL	AAL80327
638172685	PIRSF	PIRSF001369
638172685	TIGRFam	TIGR01800
638172685	UniProt/TrEMBL	Q53554
638172686	GI	18892137
638172686	GenBank/EMBL	AAL80328
638172687	GI	18892138
638172687	GenBank/EMBL	AAL80329
638172688	GI	18892139
638172688	GenBank/EMBL	AAL80330
638172688	PIRSF	PIRSF006519
638172688	UniProt/TrEMBL	Q8U485
638172689	GI	18892142
638172689	GenBank/EMBL	AAL80331
638172689	PIRSF	PIRSF001579
638172689	TIGRFam	TIGR00032
638172689	UniProt/TrEMBL	Q8U484
638172690	GI	18892143
638172690	GenBank/EMBL	AAL80332
638172691	GI	18892144
638172691	GenBank/EMBL	AAL80333
638172692	GI	18892145
638172692	GenBank/EMBL	AAL80334
638172693	GI	18892146
638172693	GenBank/EMBL	AAL80335
638172693	PIRSF	PIRSF006566
638172693	UniProt/TrEMBL	Q8U480
638172694	GI	18892147
638172694	GenBank/EMBL	AAL80336
638172695	GI	18892148
638172695	GenBank/EMBL	AAL80337
638172696	GI	18892149
638172696	GenBank/EMBL	AAL80338
638172697	GI	18892150
638172697	GenBank/EMBL	AAL80339
638172697	PIRSF	PIRSF001400
638172697	TIGRFam	TIGR01060
638172697	UniProt/TrEMBL	Q8U477
638172698	GI	18892151
638172698	GenBank/EMBL	AAL80340
638172699	GI	18892154
638172699	GenBank/EMBL	AAL80341
638172700	GI	18892155
638172700	GenBank/EMBL	AAL80342
638172701	GI	18892156
638172701	GenBank/EMBL	AAL80343
638172702	GI	18892157
638172702	GenBank/EMBL	AAL80344
638172703	GI	18892158
638172703	GenBank/EMBL	AAL80345
638172703	PIRSF	PIRSF019503
638172703	UniProt/TrEMBL	Q8U471
638172704	GI	18892159
638172704	GenBank/EMBL	AAL80346
638172704	PIRSF	PIRSF000895
638172704	TIGRFam	TIGR01509
638172704	TIGRFam	TIGR01549
638172704	TIGRFam	TIGR02253
638172704	UniProt/TrEMBL	Q8U470
638172706	GI	18892160
638172706	GenBank/EMBL	AAL80347
638172706	PIRSF	PIRSF008968
638172706	UniProt/TrEMBL	Q8U469
638172707	GI	18892161
638172707	GenBank/EMBL	AAL80348
638172707	PIRSF	PIRSF004900
638172707	TIGRFam	TIGR00277
638172707	UniProt/TrEMBL	Q8U468
638172708	GI	18892162
638172708	GenBank/EMBL	AAL80349
638172709	GI	18892163
638172709	GenBank/EMBL	AAL80350
638172710	GI	18892162
