gene_oid	gene_length	query_start	query_end	domaindb	domainid	iprid	iprdesc	go_info
2511503759	279	31	225	Pfam	PF02475	IPR003402	tRNA transferase Trm5/Tyw2	GO:0016740
2511503759	279	14	277	PANTHER	PTHR23245			
2511503759	279	21	277	SUPERFAMILY	SSF53335			
2511503759	279	110	260	Gene3D	G3DSA:3.40.50.150			
2511503761	210	6	202	TIGRFAM	TIGR00372	IPR013343	CRISPR-associated protein Cas4	
2511503764	371	110	289	Pfam	PF01746	IPR016009	tRNA (guanine-N1-)-methyltransferase	
2511503764	371	1	371	PIRSF	PIRSF018978	IPR016742	tRNA (guanine-N(1)-)-methyltransferase, archaea, predicted	
2511503766	888	43	54	ProSitePatterns	PS00178	IPR001412	Aminoacyl-tRNA synthetase, class I, conserved site	GO:0004812|GO:0005524|GO:0005737|GO:0000166|GO:0006418
2511503766	888	14	570	Pfam	PF00133	IPR002300	Aminoacyl-tRNA synthetase, class Ia	GO:0005737|GO:0000166|GO:0006418|GO:0004812|GO:0005524
2511503766	888	3	866	TIGRFAM	TIGR00422	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	36	47	PRINTS	PR00986	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	225	242	PRINTS	PR00986	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	343	356	PRINTS	PR00986	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	448	469	PRINTS	PR00986	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	486	504	PRINTS	PR00986	IPR002303	Valyl-tRNA synthetase	GO:0006438|GO:0000166|GO:0004832|GO:0005524|GO:0005737
2511503766	888	187	335	SUPERFAMILY	SSF50677	IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain	GO:0006418|GO:0002161
2511503766	888	191	332	Gene3D	G3DSA:3.90.740.10	IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain	GO:0006418|GO:0002161
2511503766	888	586	825	SUPERFAMILY	SSF47323	IPR009080	Aminoacyl-tRNA synthetase, class 1a, anticodon-binding	GO:0005737|GO:0005524|GO:0004812|GO:0000166|GO:0006418
2511503766	888	614	762	Pfam	PF08264	IPR013155	Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding	GO:0005524|GO:0005737|GO:0006418|GO:0004812|GO:0000166
2511503766	888	2	183	Gene3D	G3DSA:3.40.50.620	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	
2511503766	888	341	568	Gene3D	G3DSA:3.40.50.620	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	
2511503766	888	2	793	Hamap	MF_02005	IPR022874	Valyl-tRNA synthetase, type 2	GO:0004832
2511503766	888	3	185	SUPERFAMILY	SSF52374			
2511503766	888	4	807	PANTHER	PTHR11946			
2511503766	888	4	807	PANTHER	PTHR11946:SF16			
2511503766	888	336	579	SUPERFAMILY	SSF52374			
2511503766	888	573	751	Gene3D	G3DSA:1.10.730.10			
2511503767	378	1	259	Pfam	PF07690	IPR011701	Major facilitator superfamily	GO:0016021|GO:0055085
2511503767	378	2	359	SUPERFAMILY	SSF103473	IPR016196	Major facilitator superfamily domain, general substrate transporter	
2511503767	378	1	364	ProSiteProfiles	PS50850	IPR020846	Major facilitator superfamily domain	
2511503767	378	1	359	PANTHER	PTHR24003			
2511503767	378	3	169	Gene3D	G3DSA:1.20.1250.20			
2511503767	378	189	357	Gene3D	G3DSA:1.20.1250.20			
2511503771	971	416	643	SUPERFAMILY	SSF49344	IPR008960	Carbohydrate-binding domain family 9-like	GO:0016052|GO:0030246|GO:0003824
2511503771	971	67	343	SUPERFAMILY	SSF50998	IPR011047	Quinonprotein alcohol dehydrogenase-like	
2511503771	971	651	717	Pfam	PF08308	IPR013229	PEGA	
2511503771	971	720	789	Pfam	PF08308	IPR013229	PEGA	
2511503771	971	790	859	Pfam	PF08308	IPR013229	PEGA	
2511503771	971	861	929	Pfam	PF08308	IPR013229	PEGA	
2511503771	971	661	717	Gene3D	G3DSA:2.60.40.1120	IPR014766	Carboxypeptidase, regulatory domain	GO:0004180
2511503771	971	801	865	Gene3D	G3DSA:2.60.40.1120	IPR014766	Carboxypeptidase, regulatory domain	GO:0004180
2511503771	971	870	928	Gene3D	G3DSA:2.60.40.1120	IPR014766	Carboxypeptidase, regulatory domain	GO:0004180
